,school_name,city,state,website,query,directory
448,greenville christian school,greenville,texas,http://www.greenvillechristian.org/,"greenville christian school in greenville, texas staff administration directory link",http://www.greenvillechristian.org/staff/facultydirectory.cfm
449,grenada high,grenada,mississippi,http://www.gsd.k12.ms.us/ghs.html,"grenada high in grenada, mississippi staff administration directory link",https://ghs.grenadak12.com/teachers/staff-directory
450,penney high,hamilton,missouri,http://www.hamilton.k12.mo.us/highschool.htm,"penney high in hamilton, missouri staff administration directory link",https://phs.hamilton.k12.mo.us/staff
451,lincoln high school,shinnston,west virginia,http://www.harcoboe.net/lincolnhighschool/page/home,"lincoln high school in shinnston, west virginia staff administration directory link",https://www.harcoboe.net/o/lincoln-hs/staff
452,harding charter preparatory high school,oklahoma city,oklahoma,http://www.hardingcharterprep.org/,"harding charter preparatory high school in oklahoma city, oklahoma staff administration directory link",https://www.hardingcharterprep.org/312904_2
453,harlan county high school,baxter,kentucky,http://www.harlan.k12.ky.us/hchs/,"harlan county high school in baxter, kentucky staff administration directory link",http://www.harlan.k12.ky.us/hchs/
454,silver oak high public montessori charter,hayward,california,http://www.haywardtwinoaks.org/,"silver oak high public montessori charter in hayward, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=01611920127944
455,hills beaver creek secondary,hills,minnesota,http://www.hbcpatriots.com/,"hills beaver creek secondary in hills, minnesota staff administration directory link",https://www.hbcpatriots.com/staff
456,highland baptist christian school,new iberia,louisiana,http://www.hbcsni.org/,"highland baptist christian school in new iberia, louisiana staff administration directory link",http://www.hbcsni.org/facultystaff.html
457,hendersonville christian academy,hendersonville,tennessee,http://www.hcacrusaders.com/,"hendersonville christian academy in hendersonville, tennessee staff administration directory link",https://www.hcacrusaders.com/about-us/our-staff/
458,hellenic classical charter school,brooklyn,new york,http://www.hccs-nys.org/,"hellenic classical charter school in brooklyn, new york staff administration directory link",https://www.hccs-nys.org/our-faculty
459,hutchinson central technical high school,buffalo,new york,http://www.hcths.com/new-site/index.asp,"hutchinson central technical high school in buffalo, new york staff administration directory link",http://www.hcths.com/new-site/academics.asp?view=courses&dept=staff
460,academy of careers and exploration,helendale,california,http://www.helendalesd.com/schools/a_c_e_and_r_m_s_school,"academy of careers and exploration in helendale, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=36677360116723
461,ms 137 americas school of heroes,queens,new york,http://www.heroesofms137.org/,"ms 137 americas school of heroes in queens, new york staff administration directory link",https://www.heroesofms137.org/home/administration
462,riverton high school,herriman,utah,http://www.herrimanhigh.org/,"riverton high school in herriman, utah staff administration directory link",https://rivertonhigh.jordandistrict.org/faculty/
463,holy family catholic high school,victoria,minnesota,http://www.hfchs.org/,"holy family catholic high school in victoria, minnesota staff administration directory link",https://www.hfchs.org/academics/teachers
464,hillcrest high school,evergreen,alabama,http://www.hhs.conecuh.k12.al.us/,"hillcrest high school in evergreen, alabama staff administration directory link",https://hhs.conecuh.k12.al.us/staff
465,hillsdale high school,jeromesville,ohio,http://www.hillsdale.k12.oh.us/,"hillsdale high school in jeromesville, ohio staff administration directory link",http://www.hillsdale.k12.oh.us/hs/high-school-staff
466,hopewell loudon high school,bascom,ohio,http://www.hlschool.org/,"hopewell loudon high school in bascom, ohio staff administration directory link",http://hopewell.noeca.net/jr-sr-high/jr-sr-high-staff-listing
467,hoboken charter school,hoboken,new jersey,http://www.hobokencs.org/,"hoboken charter school in hoboken, new jersey staff administration directory link",http://www.hobokencs.org/www/faculty-and-staff/
468,holcomb high,holcomb,missouri,http://www.holcombschools.com/,"holcomb high in holcomb, missouri staff administration directory link",https://holcomb.ss20.sharpschool.com/district_information/staff_directory
469,holland high school,holland,texas,http://www.hollandisd.org/,"holland high school in holland, texas staff administration directory link",https://www.hollandisd.org/page/hs.teacherpages
470,fasman yeshiva high school,skokie,illinois,http://www.htc.edu/divisions-and-programs/divisions/fasman-yeshiva-high-school.html,"fasman yeshiva high school in skokie, illinois staff administration directory link",https://www.htc.edu/fasman-yeshiva-high-school/academics/faculty/
471,south fork junior senior high,miranda,california,http://www.humboldt.k12.ca.us/sohumb_usd/sfhs/inde,"south fork junior senior high in miranda, california staff administration directory link",https://sfhs.sohumusd.com/apps/pages/index.jsp?uREC_ID=2676362&type=d&pREC_ID=2281271
472,hamilton wenham regional high,south hamilton,massachusetts,http://www.hwschools.net/page.cfm?p=1645,"hamilton wenham regional high in south hamilton, massachusetts staff administration directory link",https://www.hwschools.net/about/staff-directory
473,icahn charter school 1,bronx,new york,http://www.icahncharterschool1.org/,"icahn charter school 1 in bronx, new york staff administration directory link",https://www.zoominfo.com/pic/icahn-charter-school-1/356983938
474,icahn charter school 3,bronx,new york,http://www.icahncharterschool3.org/,"icahn charter school 3 in bronx, new york staff administration directory link",https://www.schools.nyc.gov/schools/X422
475,institute for collaborative education,new york,new york,http://www.iceschoolnyc.org/,"institute for collaborative education in new york, new york staff administration directory link",http://www.iceschoolnyc.org/
476,ic imagine,asheville,north carolina,http://www.icimagine.org/,"ic imagine in asheville, north carolina staff administration directory link",https://www.icimagine.org/faculty/
477,idaho arts charter school,nampa,idaho,http://www.idahoartscharter.org/,"idaho arts charter school in nampa, idaho staff administration directory link",https://idahoartscharter.org/staff_directory
478,west side senior high school,weston,idaho,http://www.idahoctm.org/,"west side senior high school in weston, idaho staff administration directory link",https://westside202.org/
479,itineris early college high,west jordan,utah,http://www.iechs.org/,"itineris early college high in west jordan, utah staff administration directory link",https://www.iechs.org/faculty-staff
480,itineris early college high school,west jordan,utah,http://www.iechs.org/,"itineris early college high school in west jordan, utah staff administration directory link",https://www.iechs.org/faculty-staff
481,innovations high school,salt lake city,utah,http://www.innovationshigh.org/,"innovations high school in salt lake city, utah staff administration directory link",https://innovations.slcschools.org/our-school/administration-staff-directory
482,inwood early college for health and information technologies,new york,new york,http://www.inwoodec.org/,"inwood early college for health and information technologies in new york, new york staff administration directory link",http://www.inwoodec.org/teachers_788200
483,iowa valley junior senior high school,marengo,iowa,http://www.iowa-valley.k12.ia.us/High_School.html,"iowa valley junior senior high school in marengo, iowa staff administration directory link",http://iowa-valley.k12.ia.us/Staff_Information.html
484,is 187 christa mcauliffe,brooklyn,new york,http://www.is187nyc.com/,"is 187 christa mcauliffe in brooklyn, new york staff administration directory link",https://www.is187nyc.com/
485,junior high school 201 dyker heights the,brooklyn,new york,http://www.is201k.org/,"junior high school 201 dyker heights the in brooklyn, new york staff administration directory link",https://www.is201k.org/directory/faculty
486,is 228 david a boody,brooklyn,new york,http://www.is228.org/,"is 228 david a boody in brooklyn, new york staff administration directory link",https://www.is228.org/apps/staff/
487,ivy academy inc,soddy daisy,tennessee,http://www.ivyacademychattanooga.com/faculty-and-staff-new,"ivy academy inc in soddy daisy, tennessee staff administration directory link",http://www.ivyacademychattanooga.com/faculty-directory
488,jackpot high school,jackpot,nevada,http://www.jackpot.ecsdnv.net/,"jackpot high school in jackpot, nevada staff administration directory link",https://jackpot.ecsdnv.net/
489,jal high,jal,new mexico,http://www.jalnm.org/,"jal high in jal, new mexico staff administration directory link",https://www.jalnm.org/staff_directory
490,jean massieu academy,arlington,texas,http://www.jeanmassieu.com/,"jean massieu academy in arlington, texas staff administration directory link",https://www.jeanmassieu.com/administration/2
491,johannesburglewiston high school,johannesburg,michigan,http://www.jlas.org/,"johannesburglewiston high school in johannesburg, michigan staff administration directory link",https://www.jlas.org/
492,john muir charter,nevada city,california,http://www.johnmuircs.com/,"john muir charter in nevada city, california staff administration directory link",http://www.johnmuircs.com/
493,jonas bronck academy,bronx,new york,http://www.jonasbronckacademy.org/,"jonas bronck academy in bronx, new york staff administration directory link",https://www.jb43.org/directory/faculty
494,west jones high school,laurel,mississippi,http://www.jones.k12.ms.us/wjh/,"west jones high school in laurel, mississippi staff administration directory link",https://wjh.jonesk12.org/en-US/staff
495,joshua springs christian school,yucca valley,california,http://www.joshuaspringsschools.com/,"joshua springs christian school in yucca valley, california staff administration directory link",https://www.joshuaspringsschools.com/staff
496,fort ann juniorsenior high school,fort ann,new york,http://www.jrsrhs.fortannschool.org/,"fort ann juniorsenior high school in fort ann, new york staff administration directory link",http://www.fortannschool.org/staff
497,jasper troupsburg junior senior high school,jasper,new york,http://www.jtcsd.org/,"jasper troupsburg junior senior high school in jasper, new york staff administration directory link",https://www.jtcsd.org/domain/39
498,jemez valley high school,jemez pueblo,new mexico,http://www.jvps.org/,"jemez valley high school in jemez pueblo, new mexico staff administration directory link",https://www.jvps.org/page/staff
499,kingsley pierson high school,kingsley,iowa,http://www.k-pcsd.org/high-school.html,"kingsley pierson high school in kingsley, iowa staff administration directory link",https://k-pcsd.org/staff-directory/
500,kasson mantorville senior high school,kasson,minnesota,http://www.kassonmh.new.rschooltoday.com/,"kasson mantorville senior high school in kasson, minnesota staff administration directory link",https://www.komets.k12.mn.us/page/members
501,katy high school,katy,texas,http://www.katyisd.org/,"katy high school in katy, texas staff administration directory link",https://www.katyisd.org/domain/1841
502,chiloquin high school,chiloquin,oregon,http://www.kcsd.k12.or.us/SectionIndex.asp?SectionID=7,"chiloquin high school in chiloquin, oregon staff administration directory link",https://www.kcsd.k12.or.us/schools/chiloquin-high/our-school/staff-directory.cfm
503,bonanza juniorsenior high school,bonanza,oregon,http://www.kcsd.k12.or.us/SectionIndex.asp?SectionID=74,"bonanza juniorsenior high school in bonanza, oregon staff administration directory link",https://www.kcsd.k12.or.us/schools/bonanza-high/our-school/staff-directory.cfm
504,lost river high school,merrill,oregon,http://www.kcsd.k12.or.us/SectionIndex.asp?SectionID=77,"lost river high school in merrill, oregon staff administration directory link",https://www.kcsd.k12.or.us/schools/lost-river/our-school/staff-directory-.cfm
505,keokuk high school,keokuk,iowa,http://www.keokukschools.org/keokuk-high-school/,"keokuk high school in keokuk, iowa staff administration directory link",https://www.keokukschools.org/keokuk-high-school/staff/
506,keystone juniorsenior high school,knox,pennsylvania,http://www.keyknox.com/highschool/,"keystone juniorsenior high school in knox, pennsylvania staff administration directory link",https://keyknox.com/our_district/special_education/teacher_directory
507,klamath union high school,klamath falls,oregon,http://www.kfalls.k12.or.us/klamath_union.htm,"klamath union high school in klamath falls, oregon staff administration directory link",https://www.kfalls.k12.or.us/o/hsku/staff
508,kanab high,kanab,utah,http://www.khs.kane.k12.ut.us/,"kanab high in kanab, utah staff administration directory link",https://khs.kanek12.org/khs-directory/
509,kiefer high school,kiefer,oklahoma,http://www.kiefer.k12.ok.us/,"kiefer high school in kiefer, oklahoma staff administration directory link",https://www.kiefer.k12.ok.us/493401_3
510,lago vista high school,lago vista,texas,http://www.lagovistaisd.net/page/lhs.home,"lago vista high school in lago vista, texas staff administration directory link",https://www.lagovistaisd.net/page/lhs.contact1
511,laingsburg high school,laingsburg,michigan,http://www.laingsburg.k12.mi.us/,"laingsburg high school in laingsburg, michigan staff administration directory link",https://laingsburg.ss8.sharpschool.com/district_office/staff_directory
512,lakehill preparatory school,dallas,texas,http://www.lakehillprep.org/,"lakehill preparatory school in dallas, texas staff administration directory link",https://www.lakehillprep.org/about/administrative-team/
513,lakeside christian academy,morehead,kentucky,http://www.lakesidechristianacademy.org/,"lakeside christian academy in morehead, kentucky staff administration directory link",https://lakesidechristianacademy.org/administrative-staff/
514,lamar school,meridian,mississippi,http://www.lamarschool.com/,"lamar school in meridian, mississippi staff administration directory link",https://www.lamarschool.com/about-lamar/faculty-and-staff
515,lanesville jr sr high school,lanesville,indiana,http://www.lanesville.k12.in.us/jrsr-high/,"lanesville jr sr high school in lanesville, indiana staff administration directory link",http://www.lanesville.k12.in.us/jrsr-high/
516,lanesville junior senior high school,lanesville,indiana,http://www.lanesville.k12.in.us/jrsr-high/,"lanesville junior senior high school in lanesville, indiana staff administration directory link",http://www.lanesville.k12.in.us/jrsr-high/
517,leadership academy of nevada,las vegas,nevada,http://www.lanv.org/,"leadership academy of nevada in las vegas, nevada staff administration directory link",https://lanv.org/m/staff/
518,la paz intermediate,mission viejo,california,http://www.lapazstpo.com/,"la paz intermediate in mission viejo, california staff administration directory link",https://www.svusd.org/schools/intermediate/la-paz/about/administration-office
519,latexo high school,latexo,texas,http://www.latexoisd.net/,"latexo high school in latexo, texas staff administration directory link",https://www.latexoisd.net/District/Staff/
520,latta high school,ada,oklahoma,http://www.latta.k12.ok.us/,"latta high school in ada, oklahoma staff administration directory link",https://www.latta.k12.ok.us/vnews/display.v/SEC/District%7CLatta%20Staff
521,lawrence academy,windsor,north carolina,http://www.lawrenceacademy.org/,"lawrence academy in windsor, north carolina staff administration directory link",https://www.lawrenceacademy.org/academics/faculty-and-administration/
522,lawton bronson jrsr high school,lawton,iowa,http://www.lb-eagles.org/district-information/junior-senior-high-school,"lawton bronson jrsr high school in lawton, iowa staff administration directory link",https://www.lb-eagles.org/staff
523,lawton bronson junior senior high school,lawton,iowa,http://www.lb-eagles.org/district-information/junior-senior-high-school,"lawton bronson junior senior high school in lawton, iowa staff administration directory link",https://www.lb-eagles.org/staff
524,briar woods high,ashburn,virginia,http://www.lcps.org/,"briar woods high in ashburn, virginia staff administration directory link",https://www.lcps.org/site/Default.aspx?PageType=1&SiteID=453&ChannelID=589&DirectoryType=6
525,westlake high school,lehi,utah,http://www.lehi.alpine.k12.ut.us/,"westlake high school in lehi, utah staff administration directory link",https://whs.alpineschools.org/faculty-staff/
526,le mars high school,le mars,iowa,http://www.lemars.k12.ia.us/?page_id=633,"le mars high school in le mars, iowa staff administration directory link",https://www.lemarsiowa.com/Directory.aspx?EID=10
527,leopold high,leopold,missouri,http://www.leopold.k12.mo.us/,"leopold high in leopold, missouri staff administration directory link",http://www.leopold.k12.mo.us/persons.htm
528,cedar key high school,cedar key,florida,http://www.levyk12.org/schools,"cedar key high school in cedar key, florida staff administration directory link",https://www.ortho.ufl.edu/cedar-key-high-school
529,chiefland middle high school,chiefland,florida,http://www.levyk12.org/schools,"chiefland middle high school in chiefland, florida staff administration directory link",https://www.linkedin.com/school/chiefland-middle-high-school/
530,lutheran high northeast,norfolk,nebraska,http://www.lhne.org/,"lutheran high northeast in norfolk, nebraska staff administration directory link",https://www.lhne.org/index.php/contacts/faculty-directory
531,liberty high school academy for newcomers,new york,new york,http://www.libertyhsnyc.com/,"liberty high school academy for newcomers in new york, new york staff administration directory link",https://hs550.echalksites.com/directory/faculty
532,liberty high school,liberty,illinois,http://www.libertyschool.net/mobile/default.asp,"liberty high school in liberty, illinois staff administration directory link",https://basdwpweb.beth.k12.pa.us/liberty/staff-3/
533,linden high school,linden,new jersey,http://www.linden.k12.nj.us/schools/oldlhs/,"linden high school in linden, new jersey staff administration directory link",https://lindenps.org/about-us/faculty-and-staff/
534,lindenhurst middle school,lindenhurst,new york,http://www.lindenhurstschools.org/our_schools/middle_School,"lindenhurst middle school in lindenhurst, new york staff administration directory link",https://www.lindenhurstschools.org/staff/Default.aspx?school=403
535,los olivos elementary,los olivos,california,http://www.losolivosschool.org/,"los olivos elementary in los olivos, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=42692456045710
536,lowndes academy,lowndesboro,alabama,http://www.lowndesacademy.org/,"lowndes academy in lowndesboro, alabama staff administration directory link",https://www.lowndesacademy.org/apps/staff/
537,lynnville sully high school,sully,iowa,http://www.lshawks.org/,"lynnville sully high school in sully, iowa staff administration directory link",https://www.lshawks.com/staff
538,living word lutheran high school,jackson,wisconsin,http://www.lwlhs.com/,"living word lutheran high school in jackson, wisconsin staff administration directory link",https://www.lwlhs.com/staff
539,mabel canton secondary,mabel,minnesota,http://www.mabelcanton.k12.mn.us/,"mabel canton secondary in mabel, minnesota staff administration directory link",https://www.mabelcanton.k12.mn.us/page/3732
540,madison consolidated high school,madison,indiana,http://www.madison.k12.in.us/mchs-home,"madison consolidated high school in madison, indiana staff administration directory link",https://www.madison.k12.in.us/9-faculty/132-faculty
541,magnolia elementary,brawley,california,http://www.magnoliatigers.com/,"magnolia elementary in brawley, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=13631720000000
542,marion local high school,maria stein,ohio,http://www.marionlocal.org/,"marion local high school in maria stein, ohio staff administration directory link",https://www.marionlocal.org/Directory.aspx
543,marlboro academy,bennettsville,south carolina,http://www.marlboroacademy.com/,"marlboro academy in bennettsville, south carolina staff administration directory link",http://www.marlboroacademy.com/faculty--staff.html
544,martin county west senior high,sherburn,minnesota,http://www.martin.k12.mn.us/,"martin county west senior high in sherburn, minnesota staff administration directory link",https://www.martin.k12.mn.us/domain/16
545,montrose area juniorsenior high school,montrose,pennsylvania,http://www.masd.info/,"montrose area juniorsenior high school in montrose, pennsylvania staff administration directory link",http://www.montroseareasd.k12.pa.us/district/staff.html
546,masters academy,vero beach,florida,http://www.mastersvb.org/,"masters academy in vero beach, florida staff administration directory link",https://www.mastersvb.org/meet-our-team
547,mckenzie high school,mckenzie,tennessee,http://www.mckenziehighschool.org/,"mckenzie high school in mckenzie, tennessee staff administration directory link",https://www.mckenziehighschool.org/staff
548,william mckinley is 259,brooklyn,new york,http://www.mckinley259.org/,"william mckinley is 259 in brooklyn, new york staff administration directory link",https://www.schools.nyc.gov/schools/K259
549,mt enterprise high school,mt enterprise,texas,http://www.meisd.org/,"mt enterprise high school in mt enterprise, texas staff administration directory link",http://www.meisd.org/facultystaff.htm
550,mesorah high school for girls,dallas,texas,http://www.mesorahhighschool.org/,"mesorah high school for girls in dallas, texas staff administration directory link",https://www.mesorahhighschool.org/contact-information/
551,murray hill academy,new york,new york,http://www.mhacademy.net/,"murray hill academy in new york, new york staff administration directory link",http://www.mhacademy.net/team
552,maryville high,maryville,missouri,http://www.mhs.maryville.k12.mo.us/,"maryville high in maryville, missouri staff administration directory link",https://mhs.maryville.k12.mo.us/o/mhs/staff
553,maryville high school,maryville,missouri,http://www.mhs.maryville.k12.mo.us/,"maryville high school in maryville, missouri staff administration directory link",https://mhs.maryville.k12.mo.us/o/mhs/staff
554,stearns junior senior high school,millinocket,maine,http://www.millinocketschools.org/stearns-jr-sr-high-school.html,"stearns junior senior high school in millinocket, maine staff administration directory link",http://www.millinocketschools.org/staff.html
555,mission college preparatory catholic high school,san luis obispo,california,http://www.missionprep.org/,"mission college preparatory catholic high school in san luis obispo, california staff administration directory link",https://www.missionprep.org/apps/staff/
556,maricopa institute of technology,phoenix,arizona,http://www.mitglobalonline.org/,"maricopa institute of technology in phoenix, arizona staff administration directory link",http://www.mitglobalonline.com/Our-Faculty
557,moberly sr high school,moberly,missouri,http://www.moberly.k12.mo.us/,"moberly sr high school in moberly, missouri staff administration directory link",http://www.moberly.k12.mo.us/mhsfaculty.html
558,montesano jr sr high school,montesano,washington,http://www.monteschools.org/jr-sr-high-school,"montesano jr sr high school in montesano, washington staff administration directory link",http://www.monteschools.org/jr-sr-high-staff
559,montesano junior senior high,montesano,washington,http://www.monteschools.org/jr-sr-high-school,"montesano junior senior high in montesano, washington staff administration directory link",http://www.monteschools.org/jr-sr-high-staff
560,medford high,medford,massachusetts,http://www.mps02155.org/schools-2/medford-high-school/,"medford high in medford, massachusetts staff administration directory link",https://www.mps02155.org/about/staff-directory
561,myrtle point high school,myrtle point,oregon,http://www.mpsd.k12.or.us/,"myrtle point high school in myrtle point, oregon staff administration directory link",https://www.mpsd.k12.or.us/staff
562,irwin altman middle school 172,floral park,new york,http://www.ms172.org/,"irwin altman middle school 172 in floral park, new york staff administration directory link",https://www.ms172.org/directory/faculty
563,yorkville east middle school,new york,new york,http://www.ms177.org/,"yorkville east middle school in new york, new york staff administration directory link",http://www.ms177.org/faculty.html
564,seeger memorial junior senior high school,west lebanon,indiana,http://www.msdwarco.k12.in.us/seeger/,"seeger memorial junior senior high school in west lebanon, indiana staff administration directory link",https://www.msdwarco.k12.in.us/o/shs
565,mount zion christian academy,durham,north carolina,http://www.mzcadurham.org/,"mount zion christian academy in durham, north carolina staff administration directory link",https://www.mzcadurham.org/contactus.html
566,north tama high school,traer,iowa,http://www.n-tama.k12.ia.us/,"north tama high school in traer, iowa staff administration directory link",https://www.n-tama.k12.ia.us/pf4/cms2/view_page?d=x&group_id=1356615750476&vdid=i32b1r4m4p27b
567,north union high school,richwood,ohio,http://www.n-union.k12.oh.us/northunionhighschool_home.aspx,"north union high school in richwood, ohio staff administration directory link",https://www.n-union.k12.oh.us/hsStaff.aspx
568,nanih waiya attendance center,louisville,mississippi,http://www.nanihwaiyaschools.com/,"nanih waiya attendance center in louisville, mississippi staff administration directory link",https://nanihlouisvillems.schoolinsites.com/
569,napavine jr sr high school,napavine,washington,http://www.napavineschools.org/,"napavine jr sr high school in napavine, washington staff administration directory link",https://sites.google.com/a/napavineschools.org/napavine-school-district/home/staff-directory
570,napavine junior senior high school,napavine,washington,http://www.napavineschools.org/,"napavine junior senior high school in napavine, washington staff administration directory link",https://sites.google.com/a/napavineschools.org/napavine-school-district/home/staff-directory
571,naselle junior senior high schools,naselle,washington,http://www.naselle.wednet.edu/,"naselle junior senior high schools in naselle, washington staff administration directory link",https://www.naselle.wednet.edu/District/Staff/
572,north collins jrsr high school,north collins,new york,http://www.nchs.northcollins.com/,"north collins jrsr high school in north collins, new york staff administration directory link",http://www.northcollins.com/district/staff_directory
573,notre dame cathedral latin school,chardon,ohio,http://www.ndcl.org/,"notre dame cathedral latin school in chardon, ohio staff administration directory link",https://www.ndcl.org/FacultyandStaff.aspx
574,neelyville high,neelyville,missouri,http://www.neelyville.k12.mo.us/,"neelyville high in neelyville, missouri staff administration directory link",https://www.neelyville.k12.mo.us/administration
575,newfield senior high school,newfield,new york,http://www.newfieldschools.org/,"newfield senior high school in newfield, new york staff administration directory link",https://www.mccsd.net/Page/2851
576,north florida christian school,tallahassee,florida,http://www.nflschool.org/,"north florida christian school in tallahassee, florida staff administration directory link",https://www.nflschool.org/faculty.html
577,new orleans center for creative arts,new orleans,louisiana,http://www.nocca.com/,"new orleans center for creative arts in new orleans, louisiana staff administration directory link",https://www.nocca.com/people/administration-and-staff/
578,nord country,chico,california,http://www.nordcountryschool.org/,"nord country in chico, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=04614240110551
579,north linn senior high school,troy mills,iowa,http://www.northlinncsd.org/,"north linn senior high school in troy mills, iowa staff administration directory link",https://www.northlinncsd.org/directory/
580,north schuylkill juniorsenior high school,ashland,pennsylvania,http://www.northschuylkill.net/#,"north schuylkill juniorsenior high school in ashland, pennsylvania staff administration directory link",https://www.northschuylkill.net/hs_staff_directory.html
581,north shore middle school,glenwood landing,new york,http://www.northshore.k12.ny.us/middleschool/index.html,"north shore middle school in glenwood landing, new york staff administration directory link",https://northshoreschools.org/middleschool/index.html
582,norwayne high school,creston,ohio,http://www.norwaynelocal.k12.oh.us/hs,"norwayne high school in creston, ohio staff administration directory link",http://www.norwaynelocal.k12.oh.us/district/central-office-staff-directory
583,novato charter,novato,california,http://www.novatocharterschool.org/,"novato charter in novato, california staff administration directory link",https://novatocharterschool.org/our-team/
584,north pointe christian school,grand rapids,michigan,http://www.npchristian.org/,"north pointe christian school in grand rapids, michigan staff administration directory link",https://www.npchristian.org/who-we-are/directory/
585,norway high school,norway,michigan,http://www.nvknights.org/,"norway high school in norway, michigan staff administration directory link",https://www.nvknights.org/administration.html
586,north white jrsr high school,monon,indiana,http://www.nwhite.k12.in.us/,"north white jrsr high school in monon, indiana staff administration directory link",http://nwhs.nwhite.k12.in.us/contact/faculty-staff-directory
587,cambria heights academy,queens,new york,http://www.nycacademy.org/,"cambria heights academy in queens, new york staff administration directory link",http://www.nycacademy.org/aboutUs/staff
588,oak hill middlehigh school,oak hill,ohio,http://www.oakhill.k12.oh.us/school-separator/middle-high-school,"oak hill middlehigh school in oak hill, ohio staff administration directory link",http://www.oakhill.k12.oh.us/school-separator/middle-high-school/ms-hs-staff
589,opportunity charter school,new york,new york,http://www.ocsny.org/high-school.html,"opportunity charter school in new york, new york staff administration directory link",http://www.ocsny.org/uploads/7/5/0/5/75054037/directory_2020-2021_-_faculty__3_.pdf
590,open bible christian school,valdosta,georgia,http://www.openbiblechristianschool.org/,"open bible christian school in valdosta, georgia staff administration directory link",https://www.openbiblechristianschool.org/
591,orangeburg preparatory schools,petersburg,florida,http://www.orangeburgprep.com/,"orangeburg preparatory schools in petersburg, florida staff administration directory link",http://orangeburgprep.com/About_OPS/staff_directory.html
592,orlando christian prep,orlando,florida,http://www.orlandochristianprep.org/,"orlando christian prep in orlando, florida staff administration directory link",http://www.orlandochristianprep.org/about/directory.cfm
593,ozona high school,ozona,texas,http://www.ozonaschools.net/,"ozona high school in ozona, texas staff administration directory link",https://www.ozonaschools.net/o/ohs/page/ohs
594,lincolnwood high school,raymond,illinois,http://www.panhandle.k12.il.us/index.php/2015-11-12-23-27-35,"lincolnwood high school in raymond, illinois staff administration directory link",https://www.panhandleschools.com/lhs/lincolnwood-jr-sr-high-directory
595,paradigm high school,south jordan,utah,http://www.paradigmschools.org/,"paradigm high school in south jordan, utah staff administration directory link",https://www.paradigmschools.org/our-staff/
596,paradise charter,modesto,california,http://www.paradiseesd.org/,"paradise charter in modesto, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=50712090112383
597,pardeeville high,pardeeville,wisconsin,http://www.pardeeville.k12.wi.us/,"pardeeville high in pardeeville, wisconsin staff administration directory link",https://www.pasdwi.org/district/StaffDirectory.cfm
598,parkview high,orfordville,wisconsin,http://www.parkview.k12.wi.us/,"parkview high in orfordville, wisconsin staff administration directory link",https://www.parkview.k12.wi.us/district/StaffDirectory.cfm
599,parkway high school,rockford,ohio,http://www.parkwayschools.org/schools/middle_sc,"parkway high school in rockford, ohio staff administration directory link",https://www.parkwayschools.org/contact_us/staff_directory
600,patrician academy,butler,alabama,http://www.pasaints.com/,"patrician academy in butler, alabama staff administration directory link",http://www.pasaints.com/about-us/facultyandstaff.cfm
601,pella christian high school,pella,iowa,http://www.pceagles.org/,"pella christian high school in pella, iowa staff administration directory link",https://www.pceagles.org/about/teachers-staff/
602,pee dee academy,mullins,south carolina,http://www.peedeeacademy.org/,"pee dee academy in mullins, south carolina staff administration directory link",http://www.peedeeacademy.org/?Page=15
603,peru high school,peru,indiana,http://www.peru.k12.in.us/index.php?CurPage=JSH,"peru high school in peru, indiana staff administration directory link",https://www.peru.k12.in.us/contacts.php?Location=HS
604,orem high school,orem,utah,http://www.pghs.alpine.k12.ut.us/,"orem high school in orem, utah staff administration directory link",https://ohs.alpineschools.org/faculty-staff/
605,pleasant grove high,pleasant grove,utah,http://www.pghs.alpine.k12.ut.us/,"pleasant grove high in pleasant grove, utah staff administration directory link",https://pghs.alpineschools.org/faculty-staff/
606,prairie heights senior high school,lagrange,indiana,http://www.ph.k12.in.us/home/phhs-home,"prairie heights senior high school in lagrange, indiana staff administration directory link",http://www.ph.k12.in.us/phhs-contact
607,prairie heights sr high school,lagrange,indiana,http://www.ph.k12.in.us/home/phhs-home,"prairie heights sr high school in lagrange, indiana staff administration directory link",http://www.ph.k12.in.us/phhs-contact
608,parishville hopkinton junior senior high school,parishville,new york,http://www.phcs.neric.org/,"parishville hopkinton junior senior high school in parishville, new york staff administration directory link",https://www.phcsd.org/staff
609,provo high,provo,utah,http://www.phs.provo.edu/,"provo high in provo, utah staff administration directory link",https://provohigh.provo.edu/faculty-staff/
610,piedmont makers community non profit,piedmont,california,http://www.piedmontmakers.org,"piedmont makers community non profit in piedmont, california staff administration directory link",https://piedmont.ca.gov/services___departments
611,pine eagle charter school,halfway,oregon,http://www.pineeaglesd.org,"pine eagle charter school in halfway, oregon staff administration directory link",https://www.pineeaglesd.org/district/district-staff
612,pine island secondary,pine island,minnesota,http://www.pineisland.k12.mn.us/,"pine island secondary in pine island, minnesota staff administration directory link",https://www.pineisland.k12.mn.us/district/directory
